tas_timeseries_annual_cru_1901-2021_BRA (2)
Year,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Mato Grosso Do Sul,Minas Gerais,Para,Paraiba,Parana,Pernambuco,Piaui,Rio De Janeiro,Rio Grande Do Norte,Rio Grande Do Sul,Rondonia,Roraima,Santa Catarina,Sao Paulo,Sergipe,Tocantins,Name Unknown,Name Unknown,Name Unknown,Name Unknown
1901,24.91,25.31,24.87,26.53,26.3,24.11,26.44,21.36,21.63,24.38,26.66,26.53,24.64,20.98,26.4,25.14,18.69,24.85,26.66,20.19,26.7,18.44,26.53,26.24,16.78,20.67,25.36,26.38,26.38,24.51,24.51,24.51
1902,25.04,25.31,25.03,26.69,26.3,24.25,26.64,21.52,22.55,24.48,26.78,26.26,24.8,21.7,26.41,25.34,19.36,25.04,26.82,21.18,26.9,18.81,26.43,26.14,17.49,21.48,25.5,26.34,26.34,24.51,24.51,24.51
1903,24.87,25.11,25,26.68,26.28,24.22,26.6,21.36,22.21,24.19,26.76,25.85,24.27,21.38,26.38,25.29,18.78,25,26.79,20.76,26.85,18.4,26.27,26.14,16.95,21.01,25.47,26.27,26.27,24.51,24.51,24.51
1904,24.66,25.02,24.52,26.3,26.26,23.98,25.99,21.25,21.97,23.98,26.4,25.4,24.05,21.22,26.24,24.72,18.71,24.44,26.3,20.6,26.26,18.33,26.1,25.88,16.9,20.86,25.06,26.17,26.17,24.52,24.52,24.52
1905,24.84,25.25,24.66,26.45,26.29,24.08,26.17,21.43,22.27,24.31,26.51,26.13,24.32,21.41,26.34,24.89,18.66,24.61,26.45,20.74,26.44,18.17,26.38,26.06,16.8,20.95,25.17,26.3,26.3,24.51,24.51,24.51
1906,24.83,25.15,24.58,26.16,26.28,24.04,26.07,21.39,22.26,24.24,26.45,25.93,24.6,21.41,26.25,24.79,19.1,24.52,26.37,20.76,26.34,18.67,26.29,26.03,17.2,21.08,25.11,26.26,26.26,24.51,24.51,24.51
1907,24.76,25.12,25.09,26.09,26.27,24.23,26.72,21.28,21.96,24.04,26.83,25.62,24.28,21.18,26.21,25.41,18.6,25.11,26.89,20.49,26.97,18.14,26.18,25.89,16.7,20.76,25.56,26.24,26.24,24.51,24.51,24.51
1908,24.86,25.11,25.45,26.27,26.28,24.41,27.17,21.3,22.08,24.09,27.09,25.75,24.33,21.24,26.27,25.85,18.54,25.53,27.25,20.54,27.42,18.23,26.23,25.99,16.65,20.76,25.88,26.28,26.28,24.52,24.52,24.52
1909,24.81,24.99,25.24,26.47,26.27,24.3,26.91,21.28,21.91,24.06,26.94,25.76,24.18,21.1,26.32,25.59,18.52,25.28,27.04,20.34,27.15,18.11,26.22,25.95,16.61,20.62,25.68,26.27,26.27,24.51,24.51,24.51
1910,24.78,24.84,24.77,26.32,26.31,24.09,26.32,21.29,21.75,24.17,26.59,26.02,24.43,21.01,26.3,25.03,18.53,24.74,26.56,20.22,26.58,18.22,26.31,26.07,16.6,20.61,25.27,26.29,26.29,24.51,24.51,24.51
1911,24.65,25.17,24.85,25.42,26.47,24.13,26.42,21.19,21.76,23.85,26.64,25.4,23.95,20.94,26.14,25.12,18.12,24.83,26.65,20.12,26.68,17.79,26.18,26.17,16.2,20.37,25.34,26.19,26.19,24.51,24.51,24.51
1912,24.7,25.39,24.49,25.85,26.74,23.91,25.93,21.25,22.21,23.8,26.35,24.95,23.88,21.24,26.34,24.69,18.57,24.43,26.27,20.48,26.22,18.33,25.99,26.49,16.71,20.73,24.99,26.14,26.14,24.52,24.52,24.52
1913,24.62,25.38,24.58,25.5,26.49,23.99,25.99,21.36,22.45,23.87,26.37,24.72,23.66,21.47,26.16,24.76,18.66,24.51,26.32,20.8,26.29,18.61,25.75,26.1,16.88,20.95,25.08,26.18,26.18,24.51,24.51,24.51
1914,24.75,25.4,24.29,25.7,26.73,23.67,25.96,21.48,22.64,24.04,26.42,24.78,23.84,21.75,26.32,24.6,19.18,24.29,26.23,21.39,26.2,18.72,25.85,26.22,17.43,21.53,24.74,26.17,26.17,24.51,24.51,24.51
1915,24.9,25.55,25.19,26.03,26.55,24.18,27.49,21.46,22.56,24.09,27.47,25.08,23.86,21.63,26.35,25.76,18.81,25.31,27.34,21.13,27.57,18.38,25.96,26.26,17.04,21.24,25.63,26.29,26.29,24.51,24.51,24.51
1916,24.57,24.94,24.35,25.88,26.23,23.64,26.06,21.34,22.15,24.01,26.5,25.28,23.73,21.25,26.13,24.67,18.38,24.35,26.3,20.59,26.29,18.26,25.96,25.86,16.6,20.77,24.79,26.2,26.2,24.52,24.52,24.52
1917,24.2,25.11,24.07,25.77,25.95,23.42,25.59,21.01,21.48,23.52,26.17,24.87,23.27,20.5,25.9,24.31,17.59,24.03,25.96,19.46,25.86,17.8,25.8,25.67,15.72,19.73,24.52,26.07,26.07,24.51,24.51,24.51
